sub_path,target_image
../../../../Datasets/images/preprocessed_image\H\H222.jpg,7.0
../../../../Datasets/images/preprocessed_image\nothing\nothing595.jpg,26.0
../../../../Datasets/images/preprocessed_image\L\L791.jpg,11.0
../../../../Datasets/images/preprocessed_image\U\U517.jpg,20.0
../../../../Datasets/images/preprocessed_image\A\A841.jpg,0.0
../../../../Datasets/images/preprocessed_image\S\S578.jpg,18.0
../../../../Datasets/images/preprocessed_image\I\I450.jpg,8.0
../../../../Datasets/images/preprocessed_image\E\E358.jpg,4.0
../../../../Datasets/images/preprocessed_image\P\P296.jpg,15.0
../../../../Datasets/images/preprocessed_image\U\U373.jpg,20.0
../../../../Datasets/images/preprocessed_image\W\W417.jpg,22.0
../../../../Datasets/images/preprocessed_image\Q\Q453.jpg,16.0
../../../../Datasets/images/preprocessed_image\B\B287.jpg,1.0
../../../../Datasets/images/preprocessed_image\Y\Y939.jpg,24.0
../../../../Datasets/images/preprocessed_image\G\G910.jpg,6.0
../../../../Datasets/images/preprocessed_image\S\S297.jpg,18.0
../../../../Datasets/images/preprocessed_image\Z\Z769.jpg,25.0
../../../../Datasets/images/preprocessed_image\U\U538.jpg,20.0
../../../../Datasets/images/preprocessed_image\W\W574.jpg,22.0
../../../../Datasets/images/preprocessed_image\C\C758.jpg,2.0
../../../../Datasets/images/preprocessed_image\E\E482.jpg,4.0
../../../../Datasets/images/preprocessed_image\Y\Y15.jpg,24.0
../../../../Datasets/images/preprocessed_image\C\C45.jpg,2.0
../../../../Datasets/images/preprocessed_image\R\R690.jpg,17.0
../../../../Datasets/images/preprocessed_image\Q\Q424.jpg,16.0
../../../../Datasets/images/preprocessed_image\W\W911.jpg,22.0
../../../../Datasets/images/preprocessed_image\F\F85.jpg,5.0
../../../../Datasets/images/preprocessed_image\L\L835.jpg,11.0
../../../../Datasets/images/preprocessed_image\S\S94.jpg,18.0
../../../../Datasets/images/preprocessed_image\W\W547.jpg,22.0
../../../../Datasets/images/preprocessed_image\T\T785.jpg,19.0
../../../../Datasets/images/preprocessed_image\H\H351.jpg,7.0
../../../../Datasets/images/preprocessed_image\A\A973.jpg,0.0
../../../../Datasets/images/preprocessed_image\B\B892.jpg,1.0
../../../../Datasets/images/preprocessed_image\J\J531.jpg,9.0
../../../../Datasets/images/preprocessed_image\S\S306.jpg,18.0
../../../../Datasets/images/preprocessed_image\M\M803.jpg,12.0
../../../../Datasets/images/preprocessed_image\A\A882.jpg,0.0
../../../../Datasets/images/preprocessed_image\U\U497.jpg,20.0
../../../../Datasets/images/preprocessed_image\D\D12.jpg,3.0
../../../../Datasets/images/preprocessed_image\H\H998.jpg,7.0
../../../../Datasets/images/preprocessed_image\S\S526.jpg,18.0
../../../../Datasets/images/preprocessed_image\B\B736.jpg,1.0
../../../../Datasets/images/preprocessed_image\X\X417.jpg,23.0
