sub_path,target
output/preprocessed_image\G\G726.jpg,6.0
output/preprocessed_image\N\N1660.jpg,13.0
output/preprocessed_image\F\F1939.jpg,5.0
output/preprocessed_image\G\G2896.jpg,6.0
output/preprocessed_image\L\L1565.jpg,11.0
output/preprocessed_image\X\X152.jpg,23.0
output/preprocessed_image\P\P2497.jpg,15.0
output/preprocessed_image\F\F269.jpg,5.0
output/preprocessed_image\J\J1812.jpg,9.0
output/preprocessed_image\B\B3110.jpg,1.0
output/preprocessed_image\A\A2981.jpg,0.0
output/preprocessed_image\Z\Z910.jpg,25.0
output/preprocessed_image\K\K2635.jpg,10.0
output/preprocessed_image\Q\Q2282.jpg,16.0
output/preprocessed_image\R\R2493.jpg,17.0
output/preprocessed_image\C\C2242.jpg,2.0
output/preprocessed_image\Q\Q2184.jpg,16.0
output/preprocessed_image\R\R2564.jpg,17.0
output/preprocessed_image\G\G1240.jpg,6.0
output/preprocessed_image\M\M1934.jpg,12.0
output/preprocessed_image\C\C251.jpg,2.0
output/preprocessed_image\T\T601.jpg,19.0
output/preprocessed_image\Q\Q2864.jpg,16.0
output/preprocessed_image\S\S55.jpg,18.0
output/preprocessed_image\N\N1838.jpg,13.0
output/preprocessed_image\U\U987.jpg,20.0
output/preprocessed_image\H\H1346.jpg,7.0
output/preprocessed_image\V\V2135.jpg,21.0
output/preprocessed_image\D\D2894.jpg,3.0
output/preprocessed_image\Q\Q1580.jpg,16.0
output/preprocessed_image\B\B275.jpg,1.0
output/preprocessed_image\D\D1179.jpg,3.0
output/preprocessed_image\R\R464.jpg,17.0
output/preprocessed_image\T\T223.jpg,19.0
output/preprocessed_image\A\A236.jpg,0.0
output/preprocessed_image\G\G1231.jpg,6.0
output/preprocessed_image\G\G3006.jpg,6.0
output/preprocessed_image\R\R671.jpg,17.0
output/preprocessed_image\O\O1804.jpg,14.0
output/preprocessed_image\F\F2656.jpg,5.0
output/preprocessed_image\E\E2300.jpg,4.0
output/preprocessed_image\O\O2609.jpg,14.0
output/preprocessed_image\O\O3376.jpg,14.0
output/preprocessed_image\P\P1875.jpg,15.0
output/preprocessed_image\K\K2549.jpg,10.0
output/preprocessed_image\D\D3188.jpg,3.0
output/preprocessed_image\G\G37.jpg,6.0
output/preprocessed_image\P\P3378.jpg,15.0
output/preprocessed_image\D\D1146.jpg,3.0
output/preprocessed_image\M\M1262.jpg,12.0
output/preprocessed_image\W\W1750.jpg,22.0
output/preprocessed_image\nothing\nothing3027.jpg,26.0
output/preprocessed_image\I\I22.jpg,8.0
output/preprocessed_image\Y\Y1026.jpg,24.0
output/preprocessed_image\J\J460.jpg,9.0
output/preprocessed_image\K\K1564.jpg,10.0
output/preprocessed_image\A\A1465.jpg,0.0
output/preprocessed_image\M\M666.jpg,12.0
output/preprocessed_image\H\H799.jpg,7.0
output/preprocessed_image\V\V2870.jpg,21.0
output/preprocessed_image\D\D818.jpg,3.0
output/preprocessed_image\D\D1435.jpg,3.0
output/preprocessed_image\S\S2737.jpg,18.0
output/preprocessed_image\H\H1212.jpg,7.0
output/preprocessed_image\A\A3300.jpg,0.0
output/preprocessed_image\nothing\nothing3173.jpg,26.0
output/preprocessed_image\Q\Q3395.jpg,16.0
output/preprocessed_image\R\R1261.jpg,17.0
output/preprocessed_image\C\C708.jpg,2.0
output/preprocessed_image\E\E1536.jpg,4.0
output/preprocessed_image\W\W2860.jpg,22.0
output/preprocessed_image\U\U1004.jpg,20.0
output/preprocessed_image\E\E2410.jpg,4.0
output/preprocessed_image\Q\Q2358.jpg,16.0
output/preprocessed_image\V\V361.jpg,21.0
output/preprocessed_image\C\C465.jpg,2.0
output/preprocessed_image\W\W349.jpg,22.0
output/preprocessed_image\X\X1908.jpg,23.0
output/preprocessed_image\O\O2810.jpg,14.0
output/preprocessed_image\T\T2584.jpg,19.0
output/preprocessed_image\R\R12.jpg,17.0
output/preprocessed_image\V\V1964.jpg,21.0
output/preprocessed_image\M\M561.jpg,12.0
output/preprocessed_image\V\V999.jpg,21.0
output/preprocessed_image\D\D2997.jpg,3.0
output/preprocessed_image\H\H789.jpg,7.0
output/preprocessed_image\B\B130.jpg,1.0
output/preprocessed_image\L\L234.jpg,11.0
output/preprocessed_image\M\M490.jpg,12.0
output/preprocessed_image\J\J2138.jpg,9.0
output/preprocessed_image\P\P453.jpg,15.0
output/preprocessed_image\nothing\nothing2135.jpg,26.0
output/preprocessed_image\G\G1941.jpg,6.0
output/preprocessed_image\P\P1262.jpg,15.0
output/preprocessed_image\K\K2818.jpg,10.0
output/preprocessed_image\P\P1368.jpg,15.0
output/preprocessed_image\Z\Z2169.jpg,25.0
output/preprocessed_image\M\M773.jpg,12.0
output/preprocessed_image\B\B2286.jpg,1.0
output/preprocessed_image\O\O291.jpg,14.0
output/preprocessed_image\P\P386.jpg,15.0
output/preprocessed_image\nothing\nothing1288.jpg,26.0
output/preprocessed_image\F\F3310.jpg,5.0
output/preprocessed_image\K\K2399.jpg,10.0
output/preprocessed_image\I\I1848.jpg,8.0
output/preprocessed_image\C\C1649.jpg,2.0
output/preprocessed_image\J\J1363.jpg,9.0
output/preprocessed_image\Z\Z3097.jpg,25.0
output/preprocessed_image\B\B1964.jpg,1.0
output/preprocessed_image\M\M1469.jpg,12.0
output/preprocessed_image\C\C2529.jpg,2.0
output/preprocessed_image\M\M2855.jpg,12.0
