sub_path,target
output/preprocessed_image\C\C296.jpg,2.0
output/preprocessed_image\F\F131.jpg,5.0
output/preprocessed_image\X\X318.jpg,23.0
output/preprocessed_image\F\F88.jpg,5.0
output/preprocessed_image\N\N451.jpg,13.0
output/preprocessed_image\M\M156.jpg,12.0
output/preprocessed_image\F\F129.jpg,5.0
output/preprocessed_image\X\X239.jpg,23.0
output/preprocessed_image\J\J389.jpg,9.0
output/preprocessed_image\X\X278.jpg,23.0
output/preprocessed_image\D\D226.jpg,3.0
output/preprocessed_image\nothing\nothing48.jpg,26.0
output/preprocessed_image\X\X163.jpg,23.0
output/preprocessed_image\E\E414.jpg,4.0
output/preprocessed_image\B\B490.jpg,1.0
output/preprocessed_image\I\I259.jpg,8.0
output/preprocessed_image\V\V238.jpg,21.0
output/preprocessed_image\N\N143.jpg,13.0
output/preprocessed_image\N\N495.jpg,13.0
output/preprocessed_image\F\F393.jpg,5.0
output/preprocessed_image\I\I295.jpg,8.0
output/preprocessed_image\C\C3.jpg,2.0
output/preprocessed_image\V\V192.jpg,21.0
output/preprocessed_image\T\T272.jpg,19.0
output/preprocessed_image\A\A283.jpg,0.0
output/preprocessed_image\C\C104.jpg,2.0
output/preprocessed_image\E\E299.jpg,4.0
output/preprocessed_image\Z\Z214.jpg,25.0
output/preprocessed_image\O\O111.jpg,14.0
output/preprocessed_image\Q\Q390.jpg,16.0
output/preprocessed_image\R\R329.jpg,17.0
output/preprocessed_image\Z\Z374.jpg,25.0
output/preprocessed_image\V\V252.jpg,21.0
output/preprocessed_image\W\W369.jpg,22.0
output/preprocessed_image\T\T211.jpg,19.0
output/preprocessed_image\P\P464.jpg,15.0
output/preprocessed_image\F\F164.jpg,5.0
output/preprocessed_image\Y\Y185.jpg,24.0
output/preprocessed_image\S\S116.jpg,18.0
output/preprocessed_image\C\C404.jpg,2.0
output/preprocessed_image\C\C439.jpg,2.0
output/preprocessed_image\X\X22.jpg,23.0
output/preprocessed_image\I\I331.jpg,8.0
output/preprocessed_image\U\U467.jpg,20.0
output/preprocessed_image\S\S474.jpg,18.0
output/preprocessed_image\K\K433.jpg,10.0
output/preprocessed_image\T\T488.jpg,19.0
output/preprocessed_image\O\O280.jpg,14.0
output/preprocessed_image\U\U134.jpg,20.0
output/preprocessed_image\S\S237.jpg,18.0
output/preprocessed_image\G\G85.jpg,6.0
output/preprocessed_image\K\K349.jpg,10.0
output/preprocessed_image\H\H236.jpg,7.0
output/preprocessed_image\J\J123.jpg,9.0
output/preprocessed_image\P\P226.jpg,15.0
output/preprocessed_image\V\V391.jpg,21.0
output/preprocessed_image\Q\Q73.jpg,16.0
output/preprocessed_image\U\U370.jpg,20.0
output/preprocessed_image\O\O381.jpg,14.0
output/preprocessed_image\I\I346.jpg,8.0
output/preprocessed_image\T\T87.jpg,19.0
output/preprocessed_image\A\A377.jpg,0.0
output/preprocessed_image\T\T448.jpg,19.0
output/preprocessed_image\X\X11.jpg,23.0
output/preprocessed_image\K\K358.jpg,10.0
output/preprocessed_image\Q\Q261.jpg,16.0
output/preprocessed_image\W\W139.jpg,22.0
output/preprocessed_image\O\O106.jpg,14.0
output/preprocessed_image\F\F203.jpg,5.0
output/preprocessed_image\D\D428.jpg,3.0
output/preprocessed_image\F\F245.jpg,5.0
output/preprocessed_image\S\S379.jpg,18.0
output/preprocessed_image\D\D429.jpg,3.0
output/preprocessed_image\S\S279.jpg,18.0
output/preprocessed_image\J\J438.jpg,9.0
output/preprocessed_image\C\C137.jpg,2.0
output/preprocessed_image\M\M383.jpg,12.0
output/preprocessed_image\V\V389.jpg,21.0
output/preprocessed_image\P\P103.jpg,15.0
output/preprocessed_image\I\I406.jpg,8.0
output/preprocessed_image\F\F31.jpg,5.0
output/preprocessed_image\A\A86.jpg,0.0
output/preprocessed_image\G\G477.jpg,6.0
output/preprocessed_image\F\F211.jpg,5.0
output/preprocessed_image\I\I486.jpg,8.0
output/preprocessed_image\H\H119.jpg,7.0
output/preprocessed_image\L\L441.jpg,11.0
output/preprocessed_image\R\R475.jpg,17.0
output/preprocessed_image\O\O8.jpg,14.0
output/preprocessed_image\Y\Y262.jpg,24.0
output/preprocessed_image\S\S196.jpg,18.0
output/preprocessed_image\U\U378.jpg,20.0
output/preprocessed_image\P\P173.jpg,15.0
output/preprocessed_image\O\O132.jpg,14.0
output/preprocessed_image\I\I17.jpg,8.0
output/preprocessed_image\X\X180.jpg,23.0
output/preprocessed_image\O\O24.jpg,14.0
output/preprocessed_image\F\F491.jpg,5.0
output/preprocessed_image\K\K191.jpg,10.0
output/preprocessed_image\B\B431.jpg,1.0
output/preprocessed_image\Z\Z203.jpg,25.0
output/preprocessed_image\K\K283.jpg,10.0
output/preprocessed_image\N\N221.jpg,13.0
output/preprocessed_image\J\J337.jpg,9.0
output/preprocessed_image\A\A478.jpg,0.0
output/preprocessed_image\D\D121.jpg,3.0
output/preprocessed_image\A\A68.jpg,0.0
output/preprocessed_image\nothing\nothing419.jpg,26.0
output/preprocessed_image\Z\Z496.jpg,25.0
output/preprocessed_image\T\T95.jpg,19.0
output/preprocessed_image\Y\Y4.jpg,24.0
output/preprocessed_image\W\W445.jpg,22.0
output/preprocessed_image\J\J172.jpg,9.0
output/preprocessed_image\N\N179.jpg,13.0
output/preprocessed_image\J\J397.jpg,9.0
output/preprocessed_image\F\F163.jpg,5.0
output/preprocessed_image\C\C214.jpg,2.0
output/preprocessed_image\B\B364.jpg,1.0
output/preprocessed_image\nothing\nothing24.jpg,26.0
output/preprocessed_image\R\R333.jpg,17.0
output/preprocessed_image\W\W298.jpg,22.0
output/preprocessed_image\C\C182.jpg,2.0
output/preprocessed_image\X\X84.jpg,23.0
output/preprocessed_image\R\R184.jpg,17.0
output/preprocessed_image\D\D243.jpg,3.0
output/preprocessed_image\M\M26.jpg,12.0
output/preprocessed_image\D\D147.jpg,3.0
output/preprocessed_image\M\M22.jpg,12.0
output/preprocessed_image\P\P338.jpg,15.0
output/preprocessed_image\L\L109.jpg,11.0
output/preprocessed_image\P\P294.jpg,15.0
output/preprocessed_image\Y\Y274.jpg,24.0
output/preprocessed_image\K\K188.jpg,10.0
output/preprocessed_image\Z\Z207.jpg,25.0
output/preprocessed_image\F\F200.jpg,5.0
output/preprocessed_image\R\R122.jpg,17.0
output/preprocessed_image\H\H58.jpg,7.0
output/preprocessed_image\T\T333.jpg,19.0
output/preprocessed_image\X\X285.jpg,23.0
output/preprocessed_image\F\F312.jpg,5.0
output/preprocessed_image\H\H201.jpg,7.0
output/preprocessed_image\P\P469.jpg,15.0
output/preprocessed_image\C\C179.jpg,2.0
output/preprocessed_image\C\C446.jpg,2.0
output/preprocessed_image\J\J251.jpg,9.0
output/preprocessed_image\V\V390.jpg,21.0
output/preprocessed_image\M\M340.jpg,12.0
output/preprocessed_image\V\V124.jpg,21.0
output/preprocessed_image\O\O144.jpg,14.0
output/preprocessed_image\J\J97.jpg,9.0
output/preprocessed_image\U\U92.jpg,20.0
output/preprocessed_image\A\A120.jpg,0.0
output/preprocessed_image\S\S94.jpg,18.0
output/preprocessed_image\C\C142.jpg,2.0
output/preprocessed_image\Q\Q166.jpg,16.0
output/preprocessed_image\X\X182.jpg,23.0
output/preprocessed_image\W\W415.jpg,22.0
output/preprocessed_image\L\L169.jpg,11.0
output/preprocessed_image\O\O230.jpg,14.0
output/preprocessed_image\K\K161.jpg,10.0
output/preprocessed_image\M\M407.jpg,12.0
output/preprocessed_image\I\I233.jpg,8.0
output/preprocessed_image\N\N493.jpg,13.0
output/preprocessed_image\E\E78.jpg,4.0
output/preprocessed_image\J\J55.jpg,9.0
output/preprocessed_image\S\S124.jpg,18.0
output/preprocessed_image\I\I197.jpg,8.0
output/preprocessed_image\L\L303.jpg,11.0
output/preprocessed_image\W\W28.jpg,22.0
output/preprocessed_image\T\T161.jpg,19.0
output/preprocessed_image\O\O245.jpg,14.0
output/preprocessed_image\M\M482.jpg,12.0
output/preprocessed_image\E\E391.jpg,4.0
output/preprocessed_image\J\J223.jpg,9.0
output/preprocessed_image\B\B303.jpg,1.0
output/preprocessed_image\U\U439.jpg,20.0
output/preprocessed_image\P\P132.jpg,15.0
output/preprocessed_image\Z\Z481.jpg,25.0
output/preprocessed_image\X\X197.jpg,23.0
output/preprocessed_image\X\X78.jpg,23.0
output/preprocessed_image\L\L491.jpg,11.0
output/preprocessed_image\W\W459.jpg,22.0
output/preprocessed_image\Q\Q353.jpg,16.0
output/preprocessed_image\V\V467.jpg,21.0
output/preprocessed_image\T\T246.jpg,19.0
output/preprocessed_image\I\I177.jpg,8.0
output/preprocessed_image\U\U153.jpg,20.0
output/preprocessed_image\J\J413.jpg,9.0
output/preprocessed_image\W\W7.jpg,22.0
output/preprocessed_image\Z\Z334.jpg,25.0
output/preprocessed_image\T\T493.jpg,19.0
output/preprocessed_image\P\P85.jpg,15.0
output/preprocessed_image\L\L54.jpg,11.0
output/preprocessed_image\nothing\nothing403.jpg,26.0
output/preprocessed_image\J\J186.jpg,9.0
output/preprocessed_image\N\N463.jpg,13.0
output/preprocessed_image\T\T54.jpg,19.0
output/preprocessed_image\D\D287.jpg,3.0
output/preprocessed_image\Y\Y63.jpg,24.0
output/preprocessed_image\D\D12.jpg,3.0
output/preprocessed_image\T\T170.jpg,19.0
